"","Season","Name","Team","G","AB","PA","H","Singles","Doubles","Triples","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid","TotalBases","Points"
"1",1935,"Arky Vaughan","Pirates",137,499,610,192,129,34,10,19,108,99,97,NA,18,7,NA,7,5,4,NA,0.385,1013377,303,600
"2",1927,"Paul Waner","Pirates",155,623,709,237,168,42,18,9,114,131,60,NA,14,3,NA,23,NA,5,NA,0.38,1013597,342,641
"3",1936,"Paul Waner","Pirates",148,585,666,218,151,53,9,5,107,94,74,NA,29,3,NA,4,15,7,NA,0.373,1013597,304,560
"4",1928,"Paul Waner","Pirates",152,602,697,223,148,50,19,6,142,86,77,NA,16,5,NA,13,NA,6,NA,0.37,1013597,329,629
"5",1930,"Paul Waner","Pirates",145,589,665,217,159,32,18,8,117,77,57,NA,18,4,NA,15,NA,18,NA,0.368,1013597,309,564
"6",1930,"Pie Traynor","Pirates",130,497,569,182,140,22,11,9,90,119,48,NA,19,1,NA,23,NA,7,NA,0.366,1013165,253,499
"7",1934,"Paul Waner","Pirates",146,599,677,217,155,32,16,14,122,90,68,NA,24,2,NA,8,15,8,NA,0.362,1013597,323,589
"8",1967,"Roberto Clemente","Pirates",147,585,632,209,150,26,10,23,103,110,41,17,103,3,3,0,15,9,1,0.357,1002340,324,487
"9",1925,"Kiki Cuyler","Pirates",153,617,700,220,133,43,26,18,144,102,58,NA,56,13,NA,12,NA,41,13,0.357,1002914,369,671
"10",1929,"Pie Traynor","Pirates",130,540,597,192,149,27,12,4,94,108,30,NA,7,3,NA,24,NA,13,NA,0.356,1013165,255,496
"11",1927,"Lloyd Waner","Pirates",150,629,683,223,198,17,6,2,133,27,37,NA,23,6,NA,11,NA,14,NA,0.355,1013596,258,452
"12",1924,"Kiki Cuyler","Pirates",117,466,515,165,113,27,16,9,94,85,30,NA,62,7,NA,12,NA,32,11,0.354,1002914,251,437
"13",1937,"Paul Waner","Pirates",154,619,690,219,178,30,9,2,94,74,63,NA,34,0,NA,8,11,4,NA,0.354,1013597,273,474
"14",1929,"Lloyd Waner","Pirates",151,662,726,234,181,28,20,5,134,74,37,NA,20,9,NA,18,NA,6,NA,0.353,1013596,317,557
